id,setId,number,name,set_code,set_name,rarity,color,type,slug,hp,stage,attack,ability,text,weakness,retreat,rule
A1-080,A1,80,Vaporeon,A1,Genetic Apex,Rare,Water,Pokemon,a1-80-vaporeon,130,Stage 1,"[{""info"": ""{WCC} Bubble Drain 60"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",[],"It lives close to water. Its long tail is ridged with<br />a fin, which is often mistaken for a mermaid’s.",Lightning,2,
A1-083,A1,83,Articuno,A1,Genetic Apex,Rare,Water,Pokemon,a1-83-articuno,100,Basic,"[{""info"": ""{WWC} Ice Beam 60"", ""effect"": ""Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.""}]",[],"It’s said that this Pokémon’s beautiful blue wings<br />are made of ice. Articuno flies over snowy<br />mountains, its long tail fluttering along behind it.",Lightning,1,
A1-084,A1,84,Articuno ex,A1,Genetic Apex,Double Rare,Water,Pokemon,a1-84-articuno-ex,140,Basic,"[{""info"": ""{WC} Ice Wing 40"", ""effect"": """"}, {""info"": ""{WWW} Blizzard 80"", ""effect"": ""This attack also does 10 damage to each of your opponent's Benched Pok\u00e9mon.""}]",[],,Lightning,2,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A1-091,A1,91,Bruxish,A1,Genetic Apex,Uncommon,Water,Pokemon,a1-91-bruxish,90,Basic,"[{""info"": ""{WC} Second Strike 10+"", ""effect"": ""If your opponent's Active Pok\u00e9mon has damage on it, this attack does 60 more damage.""}]",[],It grinds its teeth with great force to stimulate<br />its brain. It fires the psychic energy created by<br />this process from the protuberance on its head.,Lightning,1,
A1-107,A1,107,Tynamo,A1,Genetic Apex,Common,Lightning,Pokemon,a1-107-tynamo,30,Basic,"[{""info"": ""{L} Tiny Charge 30"", ""effect"": """"}]",[],"While one alone doesn’t have much power,<br />a chain of many Tynamo can be as powerful<br />as lightning.",Fighting,1,
A1-108,A1,108,Eelektrik,A1,Genetic Apex,Uncommon,Lightning,Pokemon,a1-108-eelektrik,80,Stage 1,"[{""info"": ""{L} Head Bolt 40"", ""effect"": """"}]",[],They coil around foes and shock them with<br />electricity-generating organs that seem simply<br />to be circular patterns.,Fighting,2,
A1-109,A1,109,Eelektross,A1,Genetic Apex,Rare,Lightning,Pokemon,a1-109-eelektross,140,Stage 2,"[{""info"": ""{LLC} Thunder Fang 80"", ""effect"": ""Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.""}]",[],They crawl out of the ocean using their arms.<br />They will attack prey on shore and immediately<br />drag it into the ocean.,Fighting,3,
A1-110,A1,110,Helioptile,A1,Genetic Apex,Common,Lightning,Pokemon,a1-110-helioptile,60,Basic,"[{""info"": ""{L} Tail Whap 20"", ""effect"": """"}]",[],"When spread, the frills on its head act like solar<br />panels, generating the power behind this<br />Pokémon’s electric moves.",Fighting,1,
A1-111,A1,111,Heliolisk,A1,Genetic Apex,Common,Lightning,Pokemon,a1-111-heliolisk,90,Stage 1,"[{""info"": ""{CC} Quick Attack 40+"", ""effect"": ""Flip a coin. If heads, this attack does 40 more damage.""}]",[],One Heliolisk basking in the sun with its frill<br />outspread is all it would take to produce enough<br />electricity to power a city.,Fighting,1,
A1-112,A1,112,Pincurchin,A1,Genetic Apex,Uncommon,Lightning,Pokemon,a1-112-pincurchin,70,Basic,"[{""info"": ""{LL} Thunder Shock 30"", ""effect"": ""Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.""}]",[],This Pokémon generates electricity when it<br />digests food. It uses its five hard teeth to scrape<br />seaweed off surfaces and eat it.,Fighting,1,
A1-119,A1,119,Slowbro,A1,Genetic Apex,Uncommon,Psychic,Pokemon,a1-119-slowbro,130,Stage 1,"[{""info"": ""{PPC} Super Psy Bolt 80"", ""effect"": """"}]",[],"When a Slowpoke went hunting in the sea, its tail<br />was bitten by a Shellder. That made it evolve<br />into Slowbro.",Darkness,3,
A1-120,A1,120,Gastly,A1,Genetic Apex,Common,Psychic,Pokemon,a1-120-gastly,60,Basic,"[{""info"": ""{P} Suffocating Gas 20"", ""effect"": """"}]",[],"It wraps its opponent in its gas-like body,<br />slowly weakening its prey by poisoning it<br />through the skin.",Darkness,1,
A1-121,A1,121,Haunter,A1,Genetic Apex,Uncommon,Psychic,Pokemon,a1-121-haunter,80,Stage 1,"[{""info"": ""{P} Will-O-Wisp 30"", ""effect"": """"}]",[],It likes to lurk in the dark and tap shoulders<br />with a gaseous hand. Its touch causes endless<br />shuddering.,Darkness,1,
A1-122,A1,122,Gengar,A1,Genetic Apex,Rare,Psychic,Pokemon,a1-122-gengar,130,Stage 2,"[{""info"": ""{P} Bother 50"", ""effect"": ""Your opponent can't use any Supporter cards from their hand during their next turn.""}]",[],"To steal the life of its target, it slips into<br />the prey’s shadow and silently waits for<br />an opportunity.",Darkness,2,
A1-123,A1,123,Gengar ex,A1,Genetic Apex,Double Rare,Psychic,Pokemon,a1-123-gengar-ex,170,Stage 2,"[{""info"": ""{PPP} Spooky Shot 100"", ""effect"": """"}]","[{""info"": ""Shadowy Spellbind"", ""effect"": ""As long as this Pok\u00e9mon is in the Active Spot, your opponent can\u2019t use any Supporter cards from their hand.""}]",,Darkness,2,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A1-126,A1,126,Mr. Mime,A1,Genetic Apex,Uncommon,Psychic,Pokemon,a1-126-mr-mime,80,Basic,"[{""info"": ""{PC} Barrier Attack 30"", ""effect"": ""During your opponent's next turn, this Pok\u00e9mon takes -20 damage from attacks.""}]",[],The broadness of its hands may be no<br />coincidence—many scientists believe its palms<br />became enlarged specifically for pantomiming.,Darkness,1,
A1-127,A1,127,Jynx,A1,Genetic Apex,Common,Psychic,Pokemon,a1-127-jynx,80,Basic,"[{""info"": ""{PC} Psychic 30+"", ""effect"": ""This attack does 20 more damage for each Energy attached to your opponent's Active Pok\u00e9mon.""}]",[],Its strange cries sound like human language.<br />There are some musicians who compose songs<br />for Jynx to sing.,Darkness,1,
A1-128,A1,128,Mewtwo,A1,Genetic Apex,Rare,Psychic,Pokemon,a1-128-mewtwo,120,Basic,"[{""info"": ""{PPCC} Power Blast 120"", ""effect"": ""Discard 2 {P} Energy from this Pok\u00e9mon.""}]",[],It was created by a scientist after years of horrific<br />gene-splicing and DNA-engineering experiments.,Darkness,2,
A1-129,A1,129,Mewtwo ex,A1,Genetic Apex,Double Rare,Psychic,Pokemon,a1-129-mewtwo-ex,150,Basic,"[{""info"": ""{PC} Psychic Sphere 50"", ""effect"": """"}, {""info"": ""{PPCC} Psydrive 150"", ""effect"": ""Discard 2 {P} Energy from this Pok\u00e9mon.""}]",[],,Darkness,2,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A1-130,A1,130,Ralts,A1,Genetic Apex,Common,Psychic,Pokemon,a1-130-ralts,60,Basic,"[{""info"": ""{C} Ram 10"", ""effect"": """"}]",[],The horns on its head provide a strong power<br />that enables it to sense people’s emotions.,Darkness,1,
A1-131,A1,131,Kirlia,A1,Genetic Apex,Uncommon,Psychic,Pokemon,a1-131-kirlia,80,Stage 1,"[{""info"": ""{PC} Smack 30"", ""effect"": """"}]",[],It has a psychic power that enables it to distort<br />the space around it and see into the future.,Darkness,1,
A1-132,A1,132,Gardevoir,A1,Genetic Apex,Rare,Psychic,Pokemon,a1-132-gardevoir,110,Stage 2,"[{""info"": ""{PPC} Psyshot 60"", ""effect"": """"}]","[{""info"": ""Psy Shadow"", ""effect"": ""Once during your turn, you may take a <span class=\""energy-text energy-text--type-psychic\""></span> Energy from your Energy Zone and attach it to the <span class=\""energy-text energy-text--type-psychic\""></span> Pok\u00e9mon in the Active Spot.""}]","To protect its Trainer, it will expend all its psychic<br />power to create a small black hole.",Darkness,2,
A1-138,A1,138,Sandslash,A1,Genetic Apex,Uncommon,Fighting,Pokemon,a1-138-sandslash,100,Stage 1,"[{""info"": ""{FF} Slash 70"", ""effect"": """"}]",[],"The drier the area Sandslash lives in, the harder<br />and smoother the Pokémon’s spikes will feel<br />when touched.",Grass,2,
A1-151,A1,151,Cubone,A1,Genetic Apex,Common,Fighting,Pokemon,a1-151-cubone,60,Basic,"[{""info"": ""{C} Growl"", ""effect"": ""During your opponent's next turn, attacks used by the Defending Pok\u00e9mon do -20 damage.""}]",[],"When the memory of its departed mother brings<br />it to tears, its cries echo mournfully within the<br />skull it wears on its head.",Grass,1,
A1-152,A1,152,Marowak,A1,Genetic Apex,Uncommon,Fighting,Pokemon,a1-152-marowak,100,Stage 1,"[{""info"": ""{F} Bone Beatdown 40"", ""effect"": """"}]",[],"This Pokémon overcame its sorrow to evolve a<br />sturdy new body. Marowak faces its opponents<br />bravely, using a bone as a weapon.",Grass,1,
A1-153,A1,153,Marowak ex,A1,Genetic Apex,Double Rare,Fighting,Pokemon,a1-153-marowak-ex,140,Stage 1,"[{""info"": ""{FF} Bonemerang 80x"", ""effect"": ""Flip 2 coins. This attack does 80 damage for each heads.""}]",[],,Grass,1,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A1-154,A1,154,Hitmonlee,A1,Genetic Apex,Common,Fighting,Pokemon,a1-154-hitmonlee,80,Basic,"[{""info"": ""{F} Stretch Kick"", ""effect"": ""This attack does 30 damage to 1 of your opponent's Benched Pok\u00e9mon.""}]",[],This amazing Pokémon has an awesome sense of<br />balance. It can kick in succession from any position.,Psychic,1,
A1-156,A1,156,Rhyhorn,A1,Genetic Apex,Common,Fighting,Pokemon,a1-156-rhyhorn,80,Basic,"[{""info"": ""{FFC} Tackle 60"", ""effect"": """"}]",[],"Strong, but not too bright, this Pokémon can<br />shatter even a skyscraper with its charging tackles.",Grass,3,
A1-157,A1,157,Rhydon,A1,Genetic Apex,Uncommon,Fighting,Pokemon,a1-157-rhydon,120,Stage 1,"[{""info"": ""{FFFC} Horn Drill 100"", ""effect"": """"}]",[],It begins walking on its hind legs after evolution.<br />It can punch holes through boulders with its horn.,Grass,4,
A1-162,A1,162,Clobbopus,A1,Genetic Apex,Common,Fighting,Pokemon,a1-162-clobbopus,80,Basic,"[{""info"": ""{FC} Knuckle Punch 30"", ""effect"": """"}]",[],"It’s very curious, but its means of investigating<br />things is to try to punch them with its tentacles.<br />The search for food is what brings it onto land.",Psychic,2,
A1-163,A1,163,Grapploct,A1,Genetic Apex,Uncommon,Fighting,Pokemon,a1-163-grapploct,130,Stage 1,"[{""info"": ""{FFC} Knock Back 70"", ""effect"": ""Switch out your opponent's Active Pok\u00e9mon to the Bench. <span class=\""reminder-text\"">(Your opponent chooses the new Active Pok\u00e9mon.)</span>""}]",[],A body made up of nothing but muscle makes<br />the grappling moves this Pokémon performs with<br />its tentacles tremendously powerful.,Psychic,3,
A1-172,A1,172,Zubat,A1,Genetic Apex,Common,Darkness,Pokemon,a1-172-zubat,50,Basic,"[{""info"": ""{C} Glide 10"", ""effect"": """"}]",[],"It emits ultrasonic waves from its mouth to check<br />its surroundings. Even in tight caves, Zubat flies<br />around with skill.",Fighting,1,
A1-173,A1,173,Golbat,A1,Genetic Apex,Uncommon,Darkness,Pokemon,a1-173-golbat,70,Stage 1,"[{""info"": ""{C} Wing Attack 40"", ""effect"": """"}]",[],"It loves to drink other creatures’ blood. It’s said<br />that if it finds others of its kind going hungry,<br />it sometimes shares the blood it’s gathered.",Fighting,1,
A1-174,A1,174,Grimer,A1,Genetic Apex,Common,Darkness,Pokemon,a1-174-grimer,70,Basic,"[{""info"": ""{D} Poison Gas 10"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",[],"Born from sludge, these Pokémon now gather<br />in polluted places and increase the bacteria in<br />their bodies.",Fighting,3,
A1-175,A1,175,Muk,A1,Genetic Apex,Rare,Darkness,Pokemon,a1-175-muk,130,Stage 1,"[{""info"": ""{DDC} Venoshock 70+"", ""effect"": ""If your opponent's Active Pok\u00e9mon is Poisoned, this attack does 50 more damage.""}]",[],"It’s thickly covered with a filthy, vile<br />sludge. It is so toxic, even its footprints<br />contain poison.",Fighting,3,
A1-176,A1,176,Koffing,A1,Genetic Apex,Common,Darkness,Pokemon,a1-176-koffing,70,Basic,"[{""info"": ""{D} Suffocating Gas 20"", ""effect"": """"}]",[],"Its body is full of poisonous gas. It floats into<br />garbage dumps, seeking out the fumes of raw,<br />rotting trash.",Fighting,1,
A1-177,A1,177,Weezing,A1,Genetic Apex,Rare,Darkness,Pokemon,a1-177-weezing,110,Stage 1,"[{""info"": ""{D} Tackle 30"", ""effect"": """"}]","[{""info"": ""Gas Leak"", ""effect"": ""Once during your turn, if this Pok\u00e9mon is in the Active Spot, you may make your opponent\u2019s Active Pok\u00e9mon Poisoned.""}]","If one of the twin Koffing inflates, the other one<br />deflates. It constantly mixes its poisonous gases.",Fighting,3,
A1-183,A1,183,Dratini,A1,Genetic Apex,Common,Dragon,Pokemon,a1-183-dratini,70,Basic,"[{""info"": ""{WL} Ram 40"", ""effect"": """"}]",[],"It sheds many layers of skin as it grows larger.<br />During this process, it is protected by a rapid<br />waterfall.",UNSPECIFIED,1,
A1-184,A1,184,Dragonair,A1,Genetic Apex,Uncommon,Dragon,Pokemon,a1-184-dragonair,100,Stage 1,"[{""info"": ""{WLC} Tail Smack 80"", ""effect"": """"}]",[],"They say that if it emits an aura from its whole<br />body, the weather will begin to change instantly.",UNSPECIFIED,1,
A1-185,A1,185,Dragonite,A1,Genetic Apex,Rare,Dragon,Pokemon,a1-185-dragonite,160,Stage 2,"[{""info"": ""{WLCC} Draco Meteor"", ""effect"": ""1 of your opponent's Pok\u00e9mon is chosen at random 4 times. For each time a Pok\u00e9mon was chosen, do 50 damage to it.""}]",[],It is said that somewhere in the ocean lies an<br />island where these gather. Only they live there.,UNSPECIFIED,3,
A1-186,A1,186,Pidgey,A1,Genetic Apex,Common,Colorless,Pokemon,a1-186-pidgey,60,Basic,"[{""info"": ""{C} Gust 10"", ""effect"": """"}]",[],A common sight in forests and woods. It flaps<br />its wings at ground level to kick up blinding sand.,Lightning,1,
A1-187,A1,187,Pidgeotto,A1,Genetic Apex,Common,Colorless,Pokemon,a1-187-pidgeotto,80,Stage 1,"[{""info"": ""{C} Gust 30"", ""effect"": """"}]",[],The claws on its feet are well developed.<br />It can carry prey such as an Exeggcute<br />to its nest over 60 miles away.,Lightning,1,
A1-188,A1,188,Pidgeot,A1,Genetic Apex,Rare,Colorless,Pokemon,a1-188-pidgeot,130,Stage 2,"[{""info"": ""{CC} Wing Attack 70"", ""effect"": """"}]","[{""info"": ""Drive Off"", ""effect"": ""Once during your turn, you may switch out your opponent\u2019s Active Pok\u00e9mon to the Bench.\u00a0<em>(Your opponent chooses the new Active Pok\u00e9mon.)</em>""}]","When hunting, it skims the surface of water<br />at high speed to pick off unwary prey such<br />as Magikarp.",Lightning,1,
A1-189,A1,189,Rattata,A1,Genetic Apex,Common,Colorless,Pokemon,a1-189-rattata,40,Basic,"[{""info"": ""{C} Gnaw 20"", ""effect"": """"}]",[],"Its incisors grow continuously throughout its life.<br />If its incisors get too long, this Pokémon<br />becomes unable to eat, and it starves to death.",Fighting,1,
A1-201,A1,201,Lickitung,A1,Genetic Apex,Uncommon,Colorless,Pokemon,a1-201-lickitung,90,Basic,"[{""info"": ""{CCC} Continuous Lick 60x"", ""effect"": ""Flip a coin until you get tails. This attack does 60 damage for each heads.""}]",[],"If this Pokémon’s sticky saliva gets on you and<br />you don’t clean it off, an intense itch will set in.<br />The itch won’t go away, either.",Fighting,3,
A1-205,A1,205,Ditto,A1,Genetic Apex,Rare,Colorless,Pokemon,a1-205-ditto,70,Basic,"[{""info"": ""{C} Copy Anything"", ""effect"": ""Choose 1 of your opponent's Pok\u00e9mon's attacks and use it as this attack. If this Pok\u00e9mon doesn't have the necessary Energy to use that attack, this attack does nothing.""}]",[],"Its transformation ability is perfect. However,<br />if made to laugh, it can’t maintain its disguise.",Fighting,1,
A1-207,A1,207,Eevee,A1,Genetic Apex,Common,Colorless,Pokemon,a1-207-eevee,60,Basic,"[{""info"": ""{C} Tackle 20"", ""effect"": """"}]",[],Its ability to evolve into many forms allows it to<br />adapt smoothly and perfectly to any environment.,Fighting,1,
A1-209,A1,209,Porygon,A1,Genetic Apex,Uncommon,Colorless,Pokemon,a1-209-porygon,50,Basic,"[{""info"": ""{C} Sharpen 20"", ""effect"": """"}]","[{""info"": ""Data Scan"", ""effect"": ""Once during your turn, you may look at the top card of your deck.""}]",State-of-the-art technology was used to create<br />Porygon. It was the first artificial Pokémon to be<br />created via computer programming.,Fighting,1,
A1-210,A1,210,Aerodactyl,A1,Genetic Apex,Rare,Colorless,Pokemon,a1-210-aerodactyl,100,Stage 1,"[{""info"": ""{CC} Primal Wingbeat"", ""effect"": ""Flip a coin. If heads, your opponent shuffles their Active Pok\u00e9mon back into their deck.""}]",[],This is a ferocious Pokémon from ancient times.<br />Apparently even modern technology is incapable<br />of producing a perfectly restored specimen.,Lightning,1,
A1-212,A1,212,Minccino,A1,Genetic Apex,Common,Colorless,Pokemon,a1-212-minccino,60,Basic,"[{""info"": ""{C} Tail Smack 20"", ""effect"": """"}]",[],The way it brushes away grime with its tail<br />can be helpful when cleaning. But its focus on<br />spotlessness can make cleaning more of a hassle.,Fighting,1,
A1-213,A1,213,Cinccino,A1,Genetic Apex,Uncommon,Colorless,Pokemon,a1-213-cinccino,90,Stage 1,"[{""info"": ""{CCC} Do the Wave 30x"", ""effect"": ""This attack does 30 damage for each of your Benched Pok\u00e9mon.""}]",[],Its body secretes oil that this Pokémon spreads<br />over its nest as a coating to protect it from dust.<br />Cinccino won’t tolerate even a speck of the stuff.,Fighting,1,
A1-222,A1,222,Koga,A1,Genetic Apex,Uncommon,,Supporter,a1-222-koga,0,Supporter,,,,,,You may play only 1 Supporter card during your turn.
A1-223,A1,223,Giovanni,A1,Genetic Apex,Uncommon,,Supporter,a1-223-giovanni,0,Supporter,,,,,,You may play only 1 Supporter card during your turn.
A1-227,A1,227,Bulbasaur,A1,Genetic Apex,Art Rare,Grass,Pokemon,a1-227-bulbasaur,70,Basic,"[{""info"": ""{GC} Vine Whip 40"", ""effect"": """"}]",[],There is a plant seed on its back right from the<br />day this Pokémon is born. The seed slowly<br />grows larger.,Fire,1,
A1-239,A1,239,Cubone,A1,Genetic Apex,Art Rare,Fighting,Pokemon,a1-239-cubone,60,Basic,"[{""info"": ""{C} Growl"", ""effect"": ""During your opponent's next turn, attacks used by the Defending Pok\u00e9mon do -20 damage.""}]",[],"When the memory of its departed mother brings<br />it to tears, its cries echo mournfully within the<br />skull it wears on its head.",Grass,1,
A1-242,A1,242,Golbat,A1,Genetic Apex,Art Rare,Darkness,Pokemon,a1-242-golbat,70,Stage 1,"[{""info"": ""{C} Wing Attack 40"", ""effect"": """"}]",[],"It loves to drink other creatures’ blood. It’s said<br />that if it finds others of its kind going hungry,<br />it sometimes shares the blood it’s gathered.",Fighting,1,
